discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
DYN,Malina Mateusz,PL,285,2015-12-11,The XIII Polish Feediving Pool Championships,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record Dynamic with Fins 285m,https://www.youtube.com/watch?v=8iG9TzvhJFE,51.919438,19.145136
DNF,Malina Mateusz,PL,244,2016-07-01,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Freediving World Record Matt Malina (244 m DNF),https://www.youtube.com/watch?v=eRoTBCIgW7c,51.919438,19.145136
DNF,Malina Mateusz,PL,232,2016-06-27,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record 232m Dynamic without Fins DNF Limitless,https://www.youtube.com/watch?v=V1nzf4DpLN0,51.919438,19.145136
DNF,Malina Mateusz,PL,226,2014-11-09,DNF miniComp,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record 226m Dynamic No Fins,https://www.youtube.com/watch?v=frIb2jeXayY,51.919438,19.145136
DYNB,Malina Mateusz,PL,250,2019-10-13,Hydro Dynamic 2019,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,not_found,not_found,51.919438,19.145136
DYN,Solich-Talanda Magdalena,PL,257,2019-10-13,Hydro Dynamic 2019,Women,None,https://athletes.aidainternational.org/Profile-f09db57e-c0bf-4ee1-bc6f-42657b6c2bea,Magdalena Solich-Talanda DYN WR 257m 13.10.2019r,https://www.facebook.com/100063561729178/videos/magdalena-solich-talanda-dyn-wr-257m-13102019r/490733714867643,51.919438,19.145136
DYN,Kalska Agnieszka,PL,253,2019-06-21,XVI Polish Freediving Pool Championships,Women,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000010d3,Agnieszka Kalska new AIDA DYN WR 253m,https://www.youtube.com/watch?v=qOg7ulxCXYA,51.919438,19.145136
DYN,Solich-Talanda Magdalena,PL,243,2018-06-29,Individual AIDA Pool World Championships Belgrade 2018,Women,None,https://athletes.aidainternational.org/Profile-f09db57e-c0bf-4ee1-bc6f-42657b6c2bea,"Magdalena Solich-Talanda WR DYN 243m, 29.06.2018 Belgrade",https://www.youtube.com/watch?v=ubYI18GtjPc,51.919438,19.145136
DNF,Solich-Talanda Magdalena,PL,191,2017-07-01,XIV Polish Freediving Pool Championships | XIV Basenowe Mistrzostwa Polski we Freedivingu,Women,None,https://athletes.aidainternational.org/Profile-f09db57e-c0bf-4ee1-bc6f-42657b6c2bea,NEW WORLD RECORD DNF 191 meters - Magdalena Solich-Talanda – Freediving,https://www.youtube.com/watch?v=_HDLLMC4Cto,51.919438,19.145136
DNF,Solich-Talanda Magdalena,PL,185,2016-07-01,Pool World Championships 2016,Women,None,https://athletes.aidainternational.org/Profile-f09db57e-c0bf-4ee1-bc6f-42657b6c2bea,Magdalena Solich DNF - 185 World Record,https://www.youtube.com/watch?v=MvsDdwneTT0,51.919438,19.145136
DYN,Molchanov Alexey,RU,250,2008-10-04,Europe Evolution Cup,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov 250 DYN,https://www.youtube.com/watch?v=nQw7In1Ff10,61.52401,105.318756
CWT,Molchanov Alexey,RU,130,2018-07-18,Vertical Blue,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,#VB2018 Alexey Molchanov's World Record Dive to 130m,https://www.youtube.com/watch?v=eu2pBpQolKE,61.52401,105.318756
CWT,Molchanov Alexey,RU,129,2017-05-02,Vertical Blue 2017,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found,61.52401,105.318756
CWT,Molchanov Alexey,RU,129,2016-10-28,Big Blue World Cup,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov 129m (Constant Weight) Freediving World Recor,https://www.youtube.com/watch?v=wRsxzvLRwEY,61.52401,105.318756
CWT,Molchanov Alexey,RU,128,2013-09-15,AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found,61.52401,105.318756
CWT,Molchanov Alexey,RU,126,2012-11-20,Suunto Vertical Blue 2012,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov of Russia sets new World Record in Constant Weight 126m,https://www.youtube.com/watch?v=B8V8TRdA3e0,61.52401,105.318756
FIM,Molchanov Alexey,RU,125,2018-07-24,Vertical Blue,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,WATCH Alexey Molchanov set a new WORLD RECORD in Free Immersion 125m,https://www.youtube.com/watch?v=1cCiC7qwCg0,61.52401,105.318756
CWTB,Molchanov Alexey,RU,113,2020-11-26,AIDA FreedivingWorld Competition,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov's World Record Dive to 113 meters (CWTB),https://www.youtube.com/watch?v=OVDJ2_TvUhQ,61.52401,105.318756
